Date,Version,NumberOfStudents,Better_roll,Worse_roll,Ticks,End_knowledge,Baseline.attention,ID,Knowledge_percent
2021-05-17,110844-1.csv,5,0.9,1.1,5745,4516,0.7923306305423188,4,0.7860748476936467
2021-05-17,110844-1.csv,5,0.9,1.1,5745,3701,0.6630568287751873,2,0.6442123585726719
2021-05-17,110844-1.csv,5,0.9,1.1,5745,4719,0.8350809116381006,3,0.8214099216710182
2021-05-17,110844-1.csv,5,0.9,1.1,5745,5066,0.896159064845886,5,0.8818102697998259
2021-05-17,110844-1.csv,5,0.9,1.1,5745,5035,0.8797959756182913,1,0.876414273281114
2021-05-17,110844-10.csv,5,0.9,1.1,5745,4686,0.831211169299142,7,0.8156657963446475
2021-05-17,110844-10.csv,5,0.9,1.1,5745,5162,0.9132230964846043,6,0.89852045256745
2021-05-17,110844-10.csv,5,0.9,1.1,5745,4073,0.7237278232780392,8,0.7089643167972149
2021-05-17,110844-10.csv,5,0.9,1.1,5745,4602,0.8148174732936393,10,0.8010443864229765
2021-05-17,110844-10.csv,5,0.9,1.1,5745,3861,0.6824875441966524,9,0.6720626631853786
2021-05-17,110844-11.csv,10,0.9,1.1,5745,3877,0.707057730720704,12,0.6748476936466492
2021-05-17,110844-11.csv,10,0.9,1.1,5745,4942,0.8831508206220564,14,0.8602262837249782
2021-05-17,110844-11.csv,10,0.9,1.1,5745,4862,0.8667882435165237,16,0.8463011314186248
2021-05-17,110844-11.csv,10,0.9,1.1,5745,4200,0.7505812905227192,13,0.7310704960835509
2021-05-17,110844-11.csv,10,0.9,1.1,5745,4001,0.7247072028663998,17,0.696431679721497
2021-05-17,110844-11.csv,10,0.9,1.1,5745,4168,0.7464897539400186,20,0.7255004351610096
2021-05-17,110844-11.csv,10,0.9,1.1,5745,4802,0.8609568067004951,19,0.8358572671888599
2021-05-17,110844-11.csv,10,0.9,1.1,5745,3607,0.6520945947637321,15,0.6278503046127067
2021-05-17,110844-11.csv,10,0.9,1.1,5745,3663,0.6587155975595205,18,0.637597911227154
2021-05-17,110844-11.csv,10,0.9,1.1,5745,4637,0.8280943268485871,11,0.8071366405570061
2021-05-17,110844-12.csv,10,0.9,1.1,5745,3258,0.5837487108783572,25,0.5671018276762402
2021-05-17,110844-12.csv,10,0.9,1.1,5745,5015,0.8987851181684596,27,0.8729329852045257
2021-05-17,110844-12.csv,10,0.9,1.1,5745,4628,0.820128273840735,28,0.8055700609225414
2021-05-17,110844-12.csv,10,0.9,1.1,5745,4712,0.8355090132972015,22,0.8201914708442124
2021-05-17,110844-12.csv,10,0.9,1.1,5745,3358,0.6077258638681959,26,0.5845082680591819
2021-05-17,110844-12.csv,10,0.9,1.1,5745,4907,0.8741978120173877,21,0.8541340295909486
2021-05-17,110844-12.csv,10,0.9,1.1,5745,4284,0.770790963338916,29,0.745691906005222
2021-05-17,110844-12.csv,10,0.9,1.1,5745,3908,0.7020711520021888,23,0.6802436901653612
2021-05-17,110844-12.csv,10,0.9,1.1,5745,4390,0.7905214497219298,30,0.7641427328111401
2021-05-17,110844-12.csv,10,0.9,1.1,5745,4302,0.7724149145428842,24,0.7488250652741515
2021-05-17,110844-13.csv,10,0.9,1.1,5745,4803,0.8577004274885794,32,0.8360313315926893
2021-05-17,110844-13.csv,10,0.9,1.1,5745,3299,0.5948340188995944,34,0.5742384682332463
2021-05-17,110844-13.csv,10,0.9,1.1,5745,3785,0.6844786905503971,31,0.6588337684943429
2021-05-17,110844-13.csv,10,0.9,1.1,5745,4860,0.8681567167737774,40,0.8459530026109661
2021-05-17,110844-13.csv,10,0.9,1.1,5745,3933,0.7170882715535165,35,0.6845953002610966
2021-05-17,110844-13.csv,10,0.9,1.1,5745,4604,0.8275869844622771,38,0.8013925152306354
2021-05-17,110844-13.csv,10,0.9,1.1,5745,3507,0.6349156787298954,39,0.610443864229765
2021-05-17,110844-13.csv,10,0.9,1.1,5745,3958,0.7187257450933978,37,0.688946910356832
2021-05-17,110844-13.csv,10,0.9,1.1,5745,3134,0.5635126100546244,33,0.5455178416013925
2021-05-17,110844-13.csv,10,0.9,1.1,5745,5050,0.9043565235335222,36,0.8790252393385553
2021-05-17,110844-14.csv,10,0.9,1.1,5745,3411,0.6205346376496024,50,0.593733681462141
2021-05-17,110844-14.csv,10,0.9,1.1,5745,4747,0.8464347539288579,49,0.826283724978242
2021-05-17,110844-14.csv,10,0.9,1.1,5745,4394,0.7856256772475135,43,0.7648389904264578
2021-05-17,110844-14.csv,10,0.9,1.1,5745,4242,0.7581204990586136,44,0.7383812010443864
2021-05-17,110844-14.csv,10,0.9,1.1,5745,4778,0.8352543748677539,47,0.8316797214969539
2021-05-17,110844-14.csv,10,0.9,1.1,5745,3836,0.6899775588347933,42,0.6677110530896432
2021-05-17,110844-14.csv,10,0.9,1.1,5745,4738,0.8529531416817873,45,0.8247171453437772
2021-05-17,110844-14.csv,10,0.9,1.1,5745,4714,0.8484668651765392,46,0.8205395996518712
2021-05-17,110844-14.csv,10,0.9,1.1,5745,3707,0.6740493911761495,41,0.6452567449956483
2021-05-17,110844-14.csv,10,0.9,1.1,5745,4163,0.7566074441751032,48,0.7246301131418625
2021-05-17,110844-15.csv,10,0.9,1.1,5745,4014,0.7263108202554416,56,0.6986945169712794
2021-05-17,110844-15.csv,10,0.9,1.1,5745,5123,0.9144578568648974,58,0.8917319408181027
2021-05-17,110844-15.csv,10,0.9,1.1,5745,4424,0.783783913424111,51,0.7700609225413403
2021-05-17,110844-15.csv,10,0.9,1.1,5745,4577,0.8216935279552706,55,0.7966927763272411
2021-05-17,110844-15.csv,10,0.9,1.1,5745,4116,0.737054943004572,60,0.7164490861618799
2021-05-17,110844-15.csv,10,0.9,1.1,5745,4058,0.7411653996299775,59,0.7063533507397737
2021-05-17,110844-15.csv,10,0.9,1.1,5745,4155,0.7421943827939835,54,0.7232375979112271
2021-05-17,110844-15.csv,10,0.9,1.1,5745,4254,0.772022038016058,52,0.7404699738903394
2021-05-17,110844-15.csv,10,0.9,1.1,5745,4893,0.8732100106955575,53,0.8516971279373368
2021-05-17,110844-15.csv,10,0.9,1.1,5745,4299,0.7759919353911177,57,0.7483028720626632
2021-05-17,110844-17.csv,10,0.9,1.1,5745,4458,0.8043776923728391,62,0.7759791122715405
2021-05-17,110844-17.csv,10,0.9,1.1,5745,4198,0.7521429156815267,67,0.7307223672758921
2021-05-17,110844-17.csv,10,0.9,1.1,5745,4519,0.8113344365776607,65,0.7865970409051349
