Date,Version,NumberOfStudents,Better_roll,Worse_roll,Pon.task,Ticks,End_knowledge,Baseline.attention,ID,Knowledge_percent
2021-05-19,141750-1.csv,25,0.9,1.1,0.15959813071798795,11490,3372,0.422803403463866,23,0.2934725848563969
2021-05-19,141750-1.csv,25,0.9,1.1,0.153043540796313,11490,4940,0.5583837400942191,21,0.4299390774586597
2021-05-19,141750-1.csv,25,0.9,1.1,0.10758773613774411,11490,6589.5,0.6967871535989252,6,0.5734986945169713
2021-05-19,141750-1.csv,25,0.9,1.1,0.09897134858214235,11490,4667.5,0.5301325098823401,18,0.4062228024369017
2021-05-19,141750-1.csv,25,0.9,1.1,0.13314995729662393,11490,9107.5,0.9284816928311972,11,0.7926457789382071
2021-05-19,141750-1.csv,25,0.9,1.1,0.09936604415051314,11490,7029,0.7259254501293719,17,0.6117493472584856
2021-05-19,141750-1.csv,25,0.9,1.1,0.1485812691152744,11490,6745.5,0.7192647539765115,15,0.5870757180156658
2021-05-19,141750-1.csv,25,0.9,1.1,0.12606858644317662,11490,9409.5,0.9350639199889237,3,0.818929503916449
2021-05-19,141750-1.csv,25,0.9,1.1,0.09039453410151774,11490,8587.5,0.8728653176426151,19,0.7473890339425587
2021-05-19,141750-1.csv,25,0.9,1.1,0.13230326143388574,11490,9449,0.9404835424968061,12,0.82236727589208
2021-05-19,141750-1.csv,25,0.9,1.1,0.1887016934083872,11490,7833.5,0.8117769534891789,9,0.6817667536988686
2021-05-19,141750-1.csv,25,0.9,1.1,0.13087381119208064,11490,8188,0.830544502604558,10,0.7126196692776328
2021-05-19,141750-1.csv,25,0.9,1.1,0.14849932185488526,11490,8871.5,0.8940969213702131,20,0.772106179286336
2021-05-19,141750-1.csv,25,0.9,1.1,0.1415013804469852,11490,9221.5,0.9446816680933844,7,0.8025674499564839
2021-05-19,141750-1.csv,25,0.9,1.1,0.1490776338280927,11490,6393.5,0.6830488642577789,16,0.5564403829416884
2021-05-19,141750-1.csv,25,0.9,1.1,0.15422016544719636,11490,8105.5,0.8355214370569904,8,0.7054395126196693
2021-05-19,141750-1.csv,25,0.9,1.1,0.1755848121082224,11490,8094,0.8255188601818293,25,0.7044386422976502
2021-05-19,141750-1.csv,25,0.9,1.1,0.12043398750441053,11490,8823,0.896378143344648,1,0.7678851174934725
2021-05-19,141750-1.csv,25,0.9,1.1,0.17142486042011015,11490,8760.5,0.9067813074481959,14,0.7624456048738033
2021-05-19,141750-1.csv,25,0.9,1.1,0.13861714368711062,11490,6955.5,0.7290160130587308,24,0.6053524804177546
2021-05-19,141750-1.csv,25,0.9,1.1,0.09925730953813436,11490,8088,0.8197529794387918,4,0.7039164490861619
2021-05-19,141750-1.csv,25,0.9,1.1,0.12095408449776537,11490,7987.5,0.819912002813407,22,0.6951697127937336
2021-05-19,141750-1.csv,25,0.9,1.1,0.12690796738490506,11490,8567.5,0.8589114086838661,2,0.7456483899042646
2021-05-19,141750-1.csv,25,0.9,1.1,0.12409437095562194,11490,7259,0.7577564855914597,5,0.6317667536988686
2021-05-19,141750-1.csv,25,0.9,1.1,0.14581149951243447,11490,8275.5,0.8381630925323766,13,0.7202349869451697
2021-05-19,141750-10.csv,25,0.9,1.1,0.20785426910753674,11490,9013,0.9102521382461558,34,0.7844212358572672
2021-05-19,141750-10.csv,25,0.9,1.1,0.12422085732655488,11490,7013,0.7284465140121198,44,0.6103568320278503
2021-05-19,141750-10.csv,25,0.9,1.1,0.09021695432150847,11490,7363,0.7580176250400076,26,0.6408181026979982
2021-05-19,141750-10.csv,25,0.9,1.1,0.18044750589773656,11490,8983.5,0.8973479525566019,41,0.7818537859007832
2021-05-19,141750-10.csv,25,0.9,1.1,0.11433257929535845,11490,8284,0.8321468714096214,50,0.7209747606614447
2021-05-19,141750-10.csv,25,0.9,1.1,0.10433601462877025,11490,8462,0.870828465553857,32,0.7364664926022628
2021-05-19,141750-10.csv,25,0.9,1.1,0.19230450683617897,11490,6945,0.7273655397818262,40,0.6044386422976501
2021-05-19,141750-10.csv,25,0.9,1.1,0.17622382000709294,11490,7012.5,0.7331636760407352,27,0.610313315926893
2021-05-19,141750-10.csv,25,0.9,1.1,0.13675151508699632,11490,9425.5,0.9277894904785446,39,0.8203220191470845
2021-05-19,141750-10.csv,25,0.9,1.1,0.18559215280533436,11490,8001,0.8197063322993793,42,0.6963446475195822
2021-05-19,141750-10.csv,25,0.9,1.1,0.10220814919197442,11490,9125.5,0.9111981580697314,43,0.7942123585726719
2021-05-19,141750-10.csv,25,0.9,1.1,0.17005748530193543,11490,6316.5,0.6763937241867741,36,0.5497389033942559
2021-05-19,141750-10.csv,25,0.9,1.1,0.12006114058983505,11490,8842.5,0.8939327157927122,31,0.7695822454308094
2021-05-19,141750-10.csv,25,0.9,1.1,0.1750355651157492,11490,8818,0.8931654339326942,35,0.767449956483899
2021-05-19,141750-10.csv,25,0.9,1.1,0.15707021238060992,11490,8702,0.8810501351933188,48,0.7573542210617928
2021-05-19,141750-10.csv,25,0.9,1.1,0.13829626610589754,11490,8562.5,0.8668226922447086,37,0.745213228894691
2021-05-19,141750-10.csv,25,0.9,1.1,0.1433576684328099,11490,8553,0.8677489188494173,33,0.7443864229765013
2021-05-19,141750-10.csv,25,0.9,1.1,0.1501819030489722,11490,7239.5,0.7556835284652795,46,0.6300696257615318
2021-05-19,141750-10.csv,25,0.9,1.1,0.17150915616775866,11490,6884.5,0.7215490316874124,29,0.5991731940818102
