Date,Version,NumberOfStudents,Better_roll,Worse_roll,Pon.task,Ticks,End_knowledge,Baseline.attention,ID,Knowledge_percent
2021-05-19,125238-1.csv,5,0.9,1.1,0.01305449745341561,5745,4139,0.6974183511582785,4,0.7204525674499564
2021-05-19,125238-1.csv,5,0.9,1.1,0.014940476019151834,5745,4740,0.8321147098883206,5,0.825065274151436
2021-05-19,125238-1.csv,5,0.9,1.1,0.012740872105630104,5745,5149.5,0.8890908549916411,2,0.8963446475195822
2021-05-19,125238-1.csv,5,0.9,1.1,0.017245020668947206,5745,4857,0.853946780878193,1,0.8454308093994778
2021-05-19,125238-1.csv,5,0.9,1.1,0.013291058241269322,5745,4942.5,0.8457769768739561,3,0.860313315926893
2021-05-19,125238-10.csv,5,0.9,1.1,0.012800106007479169,5745,4739.5,0.8212183862129626,7,0.8249782419495213
2021-05-19,125238-10.csv,5,0.9,1.1,0.012408535027654129,5745,3818.5,0.6606799312292859,10,0.6646649260226284
2021-05-19,125238-10.csv,5,0.9,1.1,0.013775169364705808,5745,4106,0.7231525498822227,8,0.7147084421235858
2021-05-19,125238-10.csv,5,0.9,1.1,0.01296853593785816,5745,3848,0.6980053190508437,9,0.6697998259355962
2021-05-19,125238-10.csv,5,0.9,1.1,0.012381994736339524,5745,4297.5,0.7429692816737747,6,0.7480417754569191
2021-05-19,125238-11.csv,10,0.9,1.1,0.016225788311734306,5745,3744.5,0.6418172985343509,15,0.6517841601392516
2021-05-19,125238-11.csv,10,0.9,1.1,0.01696660708842722,5745,4434,0.7724261003824816,14,0.7718015665796345
2021-05-19,125238-11.csv,10,0.9,1.1,0.01823426745345602,5745,4663,0.811143376606212,19,0.8116623150565709
2021-05-19,125238-11.csv,10,0.9,1.1,0.009494826880817564,5745,4343.5,0.7504179683769151,18,0.7560487380330723
2021-05-19,125238-11.csv,10,0.9,1.1,0.01654722450091179,5745,4995,0.86401497873715,11,0.8694516971279374
2021-05-19,125238-11.csv,10,0.9,1.1,0.014075460003335254,5745,5209,0.8918104126451153,12,0.9067014795474325
2021-05-19,125238-11.csv,10,0.9,1.1,0.014849841879031945,5745,4997,0.8709139481228153,20,0.8697998259355961
2021-05-19,125238-11.csv,10,0.9,1.1,0.021933492595336883,5745,4506.5,0.7855020922226128,13,0.7844212358572672
2021-05-19,125238-11.csv,10,0.9,1.1,0.01628966126168315,5745,3649.5,0.6312558139725394,16,0.6352480417754569
2021-05-19,125238-11.csv,10,0.9,1.1,0.026434947256616624,5745,5263,0.9089088942319437,17,0.916100957354221
2021-05-19,125238-14.csv,10,0.9,1.1,0.01495313011732847,5745,4339,0.7612256141003064,21,0.7552654482158399
2021-05-19,125238-14.csv,10,0.9,1.1,0.019166607421383583,5745,4558.5,0.7809724558507679,27,0.7934725848563968
2021-05-19,125238-14.csv,10,0.9,1.1,0.022030084319710732,5745,5058,0.8751074817137698,26,0.8804177545691906
2021-05-19,125238-14.csv,10,0.9,1.1,0.011315022219979268,5745,3769,0.637190552589787,25,0.6560487380330723
2021-05-19,125238-14.csv,10,0.9,1.1,0.018830396781938256,5745,3918.5,0.6864386726895683,23,0.6820713664055701
2021-05-19,125238-14.csv,10,0.9,1.1,0.023971258289143246,5745,4713,0.815486113454895,22,0.8203655352480418
2021-05-19,125238-14.csv,10,0.9,1.1,0.03069751094657293,5745,4667.5,0.8131662691249725,29,0.8124456048738034
2021-05-19,125238-14.csv,10,0.9,1.1,0.023959033314088846,5745,5368,0.9474346349381547,24,0.9343777197563098
2021-05-19,125238-14.csv,10,0.9,1.1,0.01732897573353629,5745,4665,0.7987733956260602,28,0.8120104438642297
2021-05-19,125238-14.csv,10,0.9,1.1,0.02442181551769334,5745,4090.5,0.7172333909296578,30,0.7120104438642297
2021-05-19,125238-16.csv,10,0.9,1.1,0.03521277028736292,5745,5046.5,0.8949941944347442,34,0.8784160139251523
2021-05-19,125238-16.csv,10,0.9,1.1,0.029480403690623536,5745,4147.5,0.7370139272947352,33,0.7219321148825065
2021-05-19,125238-16.csv,10,0.9,1.1,0.031545948174015084,5745,5224.5,0.9158625079548576,35,0.9093994778067885
2021-05-19,125238-16.csv,10,0.9,1.1,0.007234420677490715,5745,4464.5,0.7622520734188012,37,0.7771105308964317
2021-05-19,125238-16.csv,10,0.9,1.1,0.020047872293121497,5745,5125.5,0.9039799603314742,31,0.8921671018276762
2021-05-19,125238-16.csv,10,0.9,1.1,0.031510983118475416,5745,4222,0.7412848828608913,40,0.7348999129677981
2021-05-19,125238-16.csv,10,0.9,1.1,0.02198115598150607,5745,4014,0.6939976800503013,36,0.6986945169712794
2021-05-19,125238-16.csv,10,0.9,1.1,0.028573033722312055,5745,3151,0.5317434270628556,32,0.5484769364664926
2021-05-19,125238-16.csv,10,0.9,1.1,0.005885700318565279,5745,4989,0.8763653198869966,39,0.8684073107049608
2021-05-19,125238-16.csv,10,0.9,1.1,0.03214962222906066,5745,2786.5,0.5019733504904147,38,0.4850304612706701
2021-05-19,125238-2.csv,5,0.9,1.1,0.014977365989639072,5745,4888,0.8699117614568552,44,0.8508268059181897
2021-05-19,125238-2.csv,5,0.9,1.1,0.012038168071823153,5745,4121,0.72810256776867055,42,0.717319408181027
2021-05-19,125238-2.csv,5,0.9,1.1,0.013293097345001044,5745,4677.5,0.8030180853054342,45,0.8141862489120975
